Neighborhood,Latitude,Longitude
Athmar Park,39.70386,-105.01114
Auraria,39.74551,-105.00685
Baker,39.71478,-104.99394
Barnum,39.71823,-105.03247
Barnum West,39.71813,-105.04625
Bear Valley,39.66168,-105.062
Belcaro,39.70363,-104.94993
Berkeley,39.77615,-105.03942
CBD,39.74593,-104.99243
Capitol Hill,39.73515,-104.97865
Central Park,39.77553,-104.87715
Chaffee Park,39.78776,-105.01341
Cheesman Park,39.73508,-104.96620
Cherry Creek,39.72092,-104.94977
City Park,39.74521,-104.95117
City Park West,39.74603,-104.96677
Civic Center,39.73488,-104.9902
Clayton,39.76814,-104.94986
Cole,39.76665,-104.96609
College View - South Platte,39.66842,-105.01273
Congress Park,39.73362,-104.94952
Cory - Merrill,39.69104,-104.9502
Country Club,39.72374,-104.96583
DIA,39.84855,-104.69204
East Colfax,39.74001,-104.89274
Elyria Swansea,39.78445,-104.95712
Five Points,39.75906,-104.98106
Fort Logan,39.64254,-105.04187
Gateway - Green Valley Ranch,39.78341,-104.77204
Globeville,39.77939,-104.98295
Goldsmith,39.67568,-104.91583
Hale,39.7329,-104.93162
Hampden,39.65995,-104.89137
Hampden South,39.64126,-104.89721
Harvey Park,39.67416,-105.03814
Harvey Park South,39.66049,-105.03981
Highland,39.76329,-105.0111
Hilltop,39.71789,-104.92462
Indian Creek,39.68562,-104.8969
Jefferson Park,39.7524,-105.0193
Kennedy,39.65391,-104.8621
Lincoln Park,39.73352,-105.00509
Lowry,39.71973,-104.8906
Mar Lee,39.68947,-105.03906
Marston,39.63366,-105.08269
Montbello,39.78671,-104.83627
Montclair,39.73291,-104.91247
North Capitol Hill,39.74402,-104.98105
North Park Hill,39.75659,-104.92231
Northeast Park Hill,39.77442,-104.92227
Overland,39.68199,-104.99162
Platt Park,39.68744,-104.98028
Regis,39.7875,-105.0438
Rosedale,39.67294,-104.97909
Ruby Hill,39.69021,-105.01035
Skyland,39.75755,-104.94992
Sloan Lake,39.75204,-105.03807
South Park Hill,39.74633,-104.92171
Southmoor Park,39.63864,-104.91137
Speer,39.71927,-104.98102
Sun Valley,39.73648,-105.02175
Sunnyside,39.7765,-105.0129
Union Station,39.75361,-105.00052
University,39.67489,-104.96698
University Hills ,39.66386,-104.93325
University Park,39.67649,-104.94937
Valverde,39.71693,-105.01629
Villa Park,39.73059,-105.03948
Virginia Village,39.68781,-104.92596
Washington Park,39.70208,-104.96505
Washington Park West,39.70201,-104.9793
Washington Virginia Vale,39.70362,-104.91647
Wellshire,39.66151,-104.94965
West Colfax,39.74046,-105.03801
West Highland,39.76481,-105.03921
Westwood,39.70398,-105.03796
Whittier,39.75699,-104.96604
Windsor,39.70253,-104.88381